T_K,k_bg_s1,k_res_H_s1,k_res_D_s1,k_cat_H_obs_s1,k_cat_D_obs_s1,KIE_obs
270.0,4.645779335732094,0.0,0.0,4.645779335732094,4.645779335732094,1.0
271.6326530612245,5.314221606350085,0.0,0.0,5.314221606350085,5.314221606350085,1.0
273.265306122449,6.069083819377771,0.0,0.0,6.069083819377771,6.069083819377771,1.0
274.8979591836735,6.9202443850046595,0.0,0.0,6.9202443850046595,6.9202443850046595,1.0
276.53061224489795,7.878557067225898,0.0,0.0,7.878557067225898,7.878557067225898,1.0
278.16326530612247,8.955931167642072,0.0,0.0,8.955931167642072,8.955931167642072,1.0
279.7959183673469,10.165416842033437,0.0,0.0,10.165416842033437,10.165416842033437,1.0
281.42857142857144,11.521295767186317,0.0,0.0,11.521295767186317,11.521295767186317,1.0
283.0612244897959,13.039177377734761,2.59,0.0,15.629177377734761,13.039177377734761,1.1986321625183651
284.6938775510204,14.73610089471346,3.33,0.0,18.066100894713458,14.73610089471346,1.225975651482858
286.3265306122449,16.63064336907923,11.469999999999999,0.0,28.10064336907923,16.63064336907923,1.6896906959910984
287.9591836734694,18.743033964648575,72.89,0.0,91.63303396464858,18.743033964648575,4.888911482392795
289.59183673469386,21.095274705689196,251.60000000000002,0.0,272.6952747056892,21.095274705689196,12.926841603638652
291.2244897959184,23.711267914808523,518.0,0.0,541.7112679148086,23.711267914808523,22.846153561298625
292.85714285714283,26.616950566764025,1159.21,0.0,1185.826950566764,26.616950566764025,44.55157053368386
294.48979591836735,29.840435783403358,1963.59,0.0,1993.4304357834033,29.840435783403358,66.80299343658073
296.1224489795918,33.41216169409433,2574.83,0.0,2608.242161694094,33.41216169409433,78.06265830908829
297.7551020408163,37.365047884736235,2877.12,0.0,2914.485047884736,37.365047884736235,78.0003027662468
299.38775510204084,41.734659656742494,3312.98,0.0,3354.7146596567427,41.734659656742494,80.38198196052062
301.0204081632653,46.55938031526076,3326.67,0.0,3373.2293803152606,46.55938031526076,72.45004889400596
302.6530612244898,51.880591703326274,2882.67,0.0,2934.5505917033265,51.880591703326274,56.56355286933207
304.2857142857143,57.74286319565186,2360.97,0.0,2418.7128631956516,57.74286319565186,41.887650340445624
305.9183673469388,64.19414936233264,1736.41,0.0,1800.6041493623327,64.19414936233264,28.049349781070198
307.55102040816325,71.28599650887969,1151.8100000000002,0.0,1223.0959965088798,71.28599650887969,17.15759134203203
309.18367346938777,79.0737582947206,615.3100000000001,0.0,694.3837582947207,79.0737582947206,8.78146901411516
310.81632653061223,87.616820627592,262.7,0.0,350.316820627592,87.616820627592,3.9982827283425912
312.44897959183675,96.97883602613759,186.48,0.0,283.4588360261376,96.97883602613759,2.9228937739543523
314.0816326530612,107.22796763747985,35.15,0.0,142.37796763747986,107.22796763747985,1.3278062689655405
315.7142857142857,118.43714309061791,20.72,0.0,139.15714309061792,118.43714309061791,1.1749451182231476
317.3469387755102,130.6843183601646,4.4399999999999995,0.0,135.1243183601646,130.6843183601646,1.0339750021709828
318.9795918367347,144.052751808229,5.55,0.0,149.60275180822902,144.052751808229,1.0385275527911364
320.61224489795916,158.63128856517633,0.0,0.0,158.63128856517633,158.63128856517633,1.0
322.2448979591837,174.51465540254847,0.0,0.0,174.51465540254847,174.51465540254847,1.0
323.8775510204082,191.80376624361844,0.0,0.0,191.80376624361844,191.80376624361844,1.0
325.51020408163265,210.60603844896522,0.0,0.0,210.60603844896522,210.60603844896522,1.0
327.14285714285717,231.0357200059561,0.0,0.0,231.0357200059561,231.0357200059561,1.0
328.7755102040816,253.2142277422838,0.0,0.0,253.2142277422838,253.2142277422838,1.0
330.40816326530614,277.27049667467884,0.0,0.0,277.27049667467884,277.27049667467884,1.0
332.0408163265306,303.3413405945277,0.0,0.0,303.3413405945277,303.3413405945277,1.0
333.6734693877551,331.57182398259516,0.0,0.0,331.57182398259516,331.57182398259516,1.0
335.3061224489796,362.11564533517605,0.0,0.0,362.11564533517605,362.11564533517605,1.0
336.9387755102041,395.13553197396607,0.0,0.0,395.13553197396607,395.13553197396607,1.0
338.57142857142856,430.8036464016171,0.0,0.0,430.8036464016171,430.8036464016171,1.0
340.2040816326531,469.30200425455666,0.0,0.0,469.30200425455666,469.30200425455666,1.0
341.8367346938776,510.8229038939249,0.0,0.0,510.8229038939249,510.8229038939249,1.0
343.46938775510205,555.5693676647304,0.0,0.0,555.5693676647304,555.5693676647304,1.0
345.1020408163265,603.7555948424266,0.0,0.0,603.7555948424266,603.7555948424266,1.0
346.734693877551,655.6074262749306,0.0,0.0,655.6074262749306,655.6074262749306,1.0
348.36734693877554,711.3628207171005,0.0,0.0,711.3628207171005,711.3628207171005,1.0
350.0,771.2723428433575,0.0,0.0,771.2723428433575,771.2723428433575,1.0
