T_K,Hc2_parallel_T,Hc2_perp_T,Anisotropy_gamma
1.0,119.98125,24.99609375,4.8
2.612244897959184,119.87205331112037,24.973344439816746,4.8
4.224489795918368,119.66538161182841,24.930287835797586,4.8
5.836734693877551,119.36123490212411,24.866923937942524,4.8
7.448979591836735,118.95961318200749,24.78325274625156,4.8
9.061224489795919,118.46051645147855,24.6792742607247,4.8
10.673469387755102,117.86394471053728,24.554988481361935,4.8
12.285714285714286,117.16989795918367,24.410395408163264,4.8
13.89795918367347,116.37837619741774,24.245495041128695,4.8
15.510204081632653,115.48937942523948,24.060287380258224,4.8
17.122448979591837,114.50290764264889,23.854772425551854,4.8
18.73469387755102,113.41896084964598,23.628950177009582,4.8
20.346938775510203,112.23753904623074,23.382820634631404,4.8
21.959183673469386,110.95864223240318,23.116383798417328,4.8
23.571428571428573,109.58227040816327,22.829639668367346,4.800000000000001
25.183673469387756,108.10842357351105,22.52258824448147,4.8
26.79591836734694,106.53710172844647,22.195229526759682,4.8
28.408163265306122,104.8683048729696,21.847563515202,4.8
30.020408163265305,103.10203300708038,21.479590209808414,4.8
31.63265306122449,101.23828613077883,21.091309610578925,4.8
33.244897959183675,99.27706424406497,20.682721717513537,4.8
34.857142857142854,97.21836734693878,20.253826530612244,4.800000000000001
36.46938775510204,95.06219543940026,19.804624049875052,4.800000000000001
38.08163265306123,92.8085485214494,19.335114275301958,4.8
39.69387755102041,90.45742659308621,18.845297206892962,4.8
41.30612244897959,88.0088296543107,18.335172844648064,4.8
42.91836734693877,85.46275770512287,17.804741188567263,4.800000000000001
44.53061224489796,82.8192107455227,17.25400223865056,4.800000000000001
46.142857142857146,80.0781887755102,16.68295599489796,4.8
47.755102040816325,77.23969179508539,16.091602457309456,4.8
49.36734693877551,74.30371980424822,15.479941625885047,4.8
50.97959183673469,71.27027280299876,14.847973500624741,4.8
52.59183673469388,68.13935079133694,14.19569808152853,4.8
54.204081632653065,64.9109537692628,13.523115368596416,4.800000000000001
55.816326530612244,61.58508173677634,12.830225361828404,4.8
57.42857142857143,58.16173469387755,12.117028061224488,4.800000000000001
59.04081632653061,54.64091264056643,11.383523466784673,4.8
60.6530612244898,51.02261557684298,10.629711578508955,4.8
62.26530612244898,47.30684350270719,9.85559239639733,4.8
63.87755102040816,43.4935964181591,9.061165920449813,4.8
65.48979591836735,39.58287432319865,8.246432150666386,4.8
67.10204081632654,35.574677217825894,7.411391087047062,4.8
68.71428571428571,31.46900510204082,6.556042729591837,4.800000000000001
70.3265306122449,27.265857975843414,5.680387078300711,4.8
71.93877551020408,22.965235839233642,4.784424133173676,4.8
73.55102040816327,18.567138692211568,3.8681538942107436,4.8
75.16326530612245,14.071566534777173,2.9315763614119112,4.8
76.77551020408163,9.47851936693047,1.9746915347771816,4.799999999999999
78.38775510204081,4.787997188671382,0.997499414306538,4.8
80.0,0.0,0.0,0.0
