Re_theta,Cf_resonant,Cf_KTH_DNS
630.957344480193,0.014977109105680661,0.016305033923761945
683.4297462947673,0.01472794925960957,0.016046596463825776
740.2659184597096,0.014482934447700692,0.015792255279985113
801.8287658738301,0.014241995712983315,0.015541945445592493
868.511373751352,0.01400506524565794,0.01529560306309847
940.73951751209,0.01377207636401187,0.015053165247740218
1018.9743814019939,0.013542963495652318,0.014814570111488711
1103.7155032027567,0.013317662159051702,0.014579756747250337
1195.5039638327578,0.013096108945399976,0.014348665213318876
1294.9258422052617,0.012878241500758844,0.014121236518074006
1402.615957403538,0.012663998508512872,0.013897412604922227
1519.2619220670363,0.012453319672112545,0.013677136337476577
1645.608532869958,0.012246145698104387,0.013460351484971185
1782.4625261258448,0.012042418279443428,0.013247002707907043
1930.6977288832495,0.01184208007908327,0.013037035543925261
2091.2606384027663,0.011645074713839135,0.012830396393904271
2265.1764656409364,0.011451346738519386,0.012627032508277364
2453.5556813293583,0.011260841630321037,0.012426891973567103
2657.601106446342,0.011073505773484855,0.012229923699133189
2878.6155923545684,0.010889286444205726,0.012036077404130334
3118.0103396431773,0.010708131795794088,0.011845303604672891
3377.313908791009,0.01052999084408419,0.011657553601202915
3658.18198018501,0.010354813453085086,0.01147277946605843
3962.4079258125057,0.01018255032087041,0.01129093403123876
4291.934260128778,0.01001315296570279,0.011111970876363769
4648.8650432148315,0.009846573712389178,0.010935844316823958
5035.479315420921,0.009682765678863135,0.010762509392118367
5454.245649277327,0.009521682762990345,0.010591921854377354
5907.837911587943,0.009363279629593622,0.01042403815706726
6399.152336349266,0.009207511697693783,0.010258815443874119
6931.326017507092,0.00905433512796278,0.010096211537763565
7507.756939629209,0.008903706810385553,0.009936184930214146
8132.125674391982,0.008755584352127147,0.009778694770621267
8808.418881415118,0.008609926065601677,0.00962370085586912
9540.954763499944,0.008466690956739773,0.009471163620067863
10334.41063880556,0.008325838713451206,0.009321044124453504
11193.852806014134,0.008187329694279447,0.009173304047447827
12124.768893177305,0.008051124917244993,0.00902790567487593
13133.102896794904,0.00791718604887426,0.008884811890338748
14225.293134853691,0.007785475393411021,0.008743986165738231
15408.313356160537,0.007655955882207301,0.008605392551952668
16689.717268457367,0.0075285910632907896,0.008468995669659817
18077.686769634343,0.007403345091105795,0.0083347607003055
19581.084190003116,0.007280182716424862,0.008202653377215322
21209.508879201927,0.0071590692764282315,0.008072639976847292
22973.358499046055,0.007039970684948347,0.007944687310183092
24883.895413685354,0.006922853422876629,0.007818762714255781
26953.31860097618,0.006807684528729864,0.007694834043811795
29194.84154422966,0.006694431589373531,0.007572869663105114
31622.776601683792,0.006583062730899428,0.00745283843782147
