z_star,x_transmissibility,y_fragmentation,Q_factor,omega_burst,omega_shear,p_occ,nu_t_resonant,nu_t_DNS,tau_turbulent
0.1,0.01,0.10020000000000001,14.97005988023952,0.027833333333333345,6.256554420257501,8.88015992858972e-11,8.976568831664195e-21,9.062693427321142e-12,6.73948696829932e-20
0.10425345396517414,0.010079511508158013,0.10020850690793036,15.08780814000982,0.02761611645642225,6.007695492649415,5.25247242036894e-10,5.814794226027792e-20,1.0267330238529965e-11,4.1920215674869207e-19
0.10868782663668683,0.010505525813739739,0.10021737565327338,15.724108337389794,0.026498587883415303,5.768982908841617,2.355638776279289e-09,2.95320203375008e-19,1.1632009416019166e-11,2.044436647087262e-18
0.11331081330842659,0.01094941315610269,0.10022662162661686,16.386983286077694,0.025426685277739,5.540002421847114,9.492642157139914e-09,1.3476404416896914e-18,1.3177978735303118e-11,8.959117572888005e-18
0.11813043659006493,0.011411911214849269,0.10023626087318013,17.077519325996796,0.024398547512248025,5.320356674235511,3.463662269487496e-08,5.568176370808094e-18,1.4929304235508514e-11,3.554962118129917e-17
0.12315506032928256,0.011893786994217519,0.10024631012065857,17.796845060783642,0.023412389400681775,5.109664508631254,1.1525244259191441e-07,2.0980006822101816e-17,1.691324354542802e-11,1.2864095549968228e-16
0.12839340412617103,0.012395837884208715,0.10025678680825235,18.54613280383187,0.022466498599674537,4.907560306330172,3.5204975705242525e-07,7.256455649272345e-17,1.9160668575285895e-11,4.2733792450817154e-16
0.13385455846499772,0.012918892750078884,0.10026770911693,19.32660005477908,0.02155923263717735,4.713693352887023,9.93261231035207e-07,2.3181171259607586e-16,2.1706544086053913e-11,1.3112271945425758e-15
0.1395480004895935,0.013463813049909833,0.10027909600097919,20.13951100503294,0.020689016062134784,4.527727229573502,2.6031707715788097e-06,6.878784793586851e-16,2.45904695042912e-11,3.737431345955919e-15
0.14548361044973934,0.014031493979833696,0.10029096722089949,20.98617807064537,0.019854337710470658,4.3493392296512186,6.371147196657929e-06,1.9061146377609923e-15,2.785729231856387e-11,9.948407004271566e-15
0.15167168884709228,0.014622865646326864,0.10030334337769418,21.867963450526542,0.01905374808263794,4.178219798447111,1.4633195983344162e-05,4.956525669097356e-15,3.155780248827112e-11,2.4851344418560667e-14
0.1581229743104055,0.015238894264812232,0.10031624594862082,22.786280707639076,0.01828585682818257,4.014071996260264,3.1684342473027256e-05,1.2149920823552753e-14,3.574951853339518e-11,5.852478832152305e-14
0.16484866223106273,0.015880583383612354,0.10032969732446213,23.74259637042739,0.01754933033295576,3.856610983168605,6.494851743123167e-05,2.8194969585683818e-14,4.049757737307243e-11,1.3048443524910357e-13
0.1718604241912664,0.016548975132077683,0.10034372084838254,24.73843155131182,0.01684288940478815,3.705563524842152,0.0001265365065944906,6.218335827405703e-14,4.5875741562717385e-11,2.765092611270446e-13
0.17917042821859494,0.01724515149147184,0.10035834085643719,25.775363578610364,0.016165307053609777,3.5606675185058605,0.0002351608312292949,1.3081597337685158e-13,5.1967539367446246e-11,5.589506247656193e-13
0.18679135990207826,0.017970235586928545,0.10037358271980416,26.855027637739592,0.015515406362163694,3.421671538230243,0.00041829577617431894,2.633888678666113e-13,5.88675551303396e-11,1.0814762311990442e-12
0.1947364444064359,0.018725392998498836,0.10038947288881288,27.979118416985248,0.01489205844361849,3.288334398761455,0.0007143854814383232,5.091485685208166e-13,6.668288967771068e-11,2.0091009023365862e-12
0.20301946942268054,0.019511833088981655,0.10040603893884537,29.14939175252067,0.014294180482535656,3.160424737134818,0.0011748321394112304,9.476863402946653e-13,7.553481308394221e-11,3.5941096234944304e-12
0.21165480909491508,0.020330810345872283,0.10042330961818983,30.36766626668177,0.013720733855792446,3.0377206113466673,0.0018654587627354672,1.703057580549996e-12,8.556063503368872e-11,6.2080957376962916e-12
0.2206574489648445,0.021183625734369264,0.10044131489792969,31.635824992777803,0.013170722330199646,2.920009115389057,0.0028671499883686676,2.962279042503792e-12,9.691582131251129e-11,1.0379858167724448e-11
0.2300430119772918,0.02207162805794846,0.10046008602395459,32.95581697892261,0.01264319033368683,2.8070860099803694,0.004275433700935214,4.998774833297834e-12,1.0977638867670899e-10,1.6838389081910763e-11
0.23982778559184595,0.022996215322539877,0.1004796555711837,34.32965886250744,0.012137221297055245,2.6987553683521415,0.006198868846599342,8.201222376518526e-12,1.243416145538451e-10,2.6559711498814894e-11
0.25002875004769165,0.023958836099825444,0.10050005750009539,35.75943640599813,0.011651936063421202,2.594829236478668,0.00875623455565821,1.310810898453661e-11,1.4083710276895805e-10,4.081596531362916e-11
0.26066360783067055,0.024960990884611328,0.10052132721566134,37.24730598372319,0.011186491362590012,2.495127307161077,0.012072651377348075,2.044816951757404e-11,1.5951825184653321e-10,6.122494337370928e-11
0.2717508143937101,0.026004233440612267,0.10054350162878743,38.795496008217576,0.010740078347713594,2.399476607401696,0.016274885587716014,3.118675734054079e-11,1.8067417848350007e-10,8.97982736392089e-11
0.2833096101839324,0.02709017212831561,0.10056661922036787,40.40630828349802,0.010311921191692582,2.3077111985277,0.021486174825447076,4.657812295041393e-11,2.0463215561094746e-10,1.2898662712688435e-10
0.2953600540320203,0.02822047120786337,0.10059072010806405,42.08211927135964,0.009901275740887956,2.2196718885452684,0.027820957414040597,6.822355028724757e-11,2.317626321609247e-10,1.817206760512295e-10
0.30792305796178576,0.029396852109100622,0.10061584611592357,43.825381255400856,0.009507428223806232,2.1352059562267725,0.035379886284519664,9.813533621236256e-11,2.6248491034029974e-10,2.514469852763441e-10
0.32102042348034676,0.030621094660080967,0.1006420408469607,45.638623385992815,0.009129694012518091,2.0541668864540266,0.044245466237871636,1.3880669363552393e-10,2.9727356601090147e-10,3.4215853642111457e-10
0.33467487941189045,0.03189503826439313,0.10066934975882379,47.524452587810856,0.008767416434661553,1.976414116360258,0.054478580362925313,1.932878074205294e-10,3.3666570882407e-10,4.5842010132750875e-10
0.3489101213406773,0.03322058301667063,0.10069782024268135,49.485554309828885,0.00841996563396902,1.9018127918323309,0.06611608036807441,2.6526846476225205e-10,3.8126919121526654e-10,6.053891514654899e-10
0.36375085273173613,0.03459969074456709,0.10072750170546348,51.524693095843546,0.008086737477341304,1.8302335339528435,0.07916951920825555,3.59167906566126e-10,4.31771889407588e-10,7.888333763003586e-10
0.37922282780060895,0.036034385964316226,0.10075844565560123,53.644712951632926,0.007767152506573036,1.7615522149791163,0.0936250138036964,4.802327917402763e-10,4.889521953991911e-10,1.015146165594826e-09
0.3953528962065395,0.03752675673574632,0.10079070579241309,55.84853748276526,0.007460654932911165,1.6956497434727695,0.10944414909479466,6.346444218482174e-10,5.536908767412633e-10,1.2913615813240248e-09
0.4121690496466673,0.0390789554012787,0.10082433809929334,58.13916977485112,0.0071667116727026515,1.632411858209587,0.12656577709140052,8.296366311896139e-10,6.269844809990796e-10,1.6251704097107753e-09
0.42970047043208404,0.040693199192004675,0.10085940094086418,60.51969198567403,0.006884811422458962,1.5717289305147761,0.1449085277417192,1.0736260017602562e-09,7.099604844074515e-10,2.024938857023403e-09
0.4479775821300495,0.042371770682401985,0.1008959551642601,62.99326461613865,0.006614463771733433,1.5134957746834676,0.1643738315649626,1.3763563111624209e-09,8.03894409696035e-10,2.4997313536838977e-09
0.4670321023602513,0.04411701807361894,0.10093406420472051,65.56312542434361,0.006355198352273155,1.4576114661604986,0.18484925442542616,1.7490593643634356e-09,9.102291667180581e-10,3.059338781389845e-09
0.4868970978367296,0.0459313552835153,0.10097379419567347,68.23258794431344,0.006106564021970269,1.403979167167115,0.20621195887645002,2.2046345992188486e-09,1.0305969017596501e-09,3.714313258222902e-09
0.5076070417509838,0.047817261819806216,0.10101521408350198,71.00503956801865,0.005868128082197948,1.352505959475319,0.22833213009675096,2.757850094313318e-09,1.1668436776714147e-09,4.476010425478e-09
0.5291978735958442,0.04977728241070522,0.10105839574719169,73.88393914627595,0.0056394755271744115,1.3031026840431261,0.25107623365584747,3.4255678502285772e-09,1.3210573477369864e-09,5.35663999200564e-09
0.5517070615339238,0.05181402636540448,0.10110341412306785,76.87281406095842,0.005420208324054058,1.2556837872360382,0.27431000376012665,4.226996466477147e-09,1.4955990320191532e-09,6.3693251179912495e-09
0.5751736674188842,0.05393016663456742,0.10115034733483777,79.97525671766975,0.005209944722498257,1.2101671733716224,0.29790109152032057,5.183974600636844e-09,1.6931386564073145e-09,7.52817106713957e-09
0.5996384145823503,0.056128438538741415,0.1011992768291647,83.19492040465707,0.00500831859252963,1.1664740633351791,0.3217213311695936,6.321288877877737e-09,1.916695072408131e-09,8.848343427472223e-09
0.6251437585041105,0.058411638130231314,0.10125028751700822,86.53551446027134,0.004814978789522992,1.124528859025138,0.3456486067872541,7.667030221658445e-09,2.1696813406225556e-09,1.0346156096727388e-08
0.6517339604882424,0.06078262015151408,0.10130346792097648,90.00079868775363,0.004629588545233237,1.0842590133970442,0.3695683223007546,9.25299290266437e-09,2.455955833674801e-09,1.2039169146735267e-08
0.679455164473016,0.06324429555072825,0.10135891032894603,93.59457695255081,0.004451824883806059,1.045594905884825,0.3933744931932738,1.111512095494686e-08,2.7798798960281547e-09,1.394629661854333e-08
0.7083554771078738,0.0657996285121511,0.10141671095421576,97.32068989378307,0.0042813780617607785,1.008469722987405,0.4169704896398656,1.3294006986633457e-08,3.1463828896682682e-09,1.608792425184344e-08
0.738485051236447,0.06845163295689458,0.1014769701024729,101.18300667792573,0.004117951030976503,0.9728193438177761,0.44026946817301593,1.5835448817409866e-08,3.561035557195999e-09,1.8486037113135173e-08
0.769896172930482,0.07120336846632411,0.10153979234586097,105.18541571927868,0.003961258923753047,0.9385822304202643,0.46319453301292796,1.8791069805064048e-08,4.030132748711137e-09,2.1164357051543875e-08
0.8026433522257174,0.07405793557795776,0.10160528670445144,109.33181428842894,0.003811028559056523,0.9056993226699878,0.48567866951507416,2.2219009176404863e-08,4.560786687377115e-09,2.4148489873761753e-08
0.8367834177171689,0.07701847040085485,0.10167356683543434,113.62609692671825,0.0036669979690967538,0.8741139375764388,0.5076644914055597,2.6184689150246452e-08,5.161032092274344e-09,2.746608208480438e-08
0.8723756151779796,0.08008813849479192,0.10174475123035596,118.07214258178455,0.0035289159454191827,0.8437716728206548,0.5291038411638864,3.0761666126939945e-08,5.8399446377655366e-09,3.1146986984014305e-08
0.9094817103729794,0.08327012795487765,0.10181896342074596,122.6738003766267,0.003396541603728249,0.814620314362676,0.5499572795716493,3.603257371360949e-08,6.6077744079753806e-09,3.522343983105223e-08
0.9481660962453726,0.08656764164072492,0.10189633219249075,127.43487392243621,0.0032696439666921365,0.7866097479628582,0.5701934964916044,4.209016584853883e-08,7.476096205166391e-09,3.973024169980084e-08
0.9884959046625583,0.08998388848692117,0.10197699180932512,132.3591040837499,0.0031480015640104504,0.7596918744671581,0.5897886707082126,4.903846877176382e-08,8.45797879401085e-09,4.470495151466455e-08
1.0305411229150117,0.09352207382937551,0.10206108224583003,137.45015010341504,0.00303140204905687,0.7338205287127201,0.6087258024036507,5.699405104922781e-08,9.568175412455338e-09,5.018808560930893e-08
1.0743747151703906,0.09718538868023575,0.10214874943034079,142.71156899455278,0.002919641831438141,0.7089514019159879,0.62699403774809,6.608742127960827e-08,1.0823338156708992e-08,5.6223323958228925e-08
1.120072749093634,0.10097699788252999,0.10224014549818727,148.14679310729315,0.002812525724839025,0.6850419674111392,0.6445880012760535,7.646456347783905e-08,1.2242259155746125e-08,6.285772200251135e-08
1.1677145278527923,0.10490002707457899,0.10233542905570558,153.75910577969637,0.0027098666095500073,0.6620514096118749,0.6615071482796276,8.828862041572899e-08,1.3846141792731193e-08,7.014192671870535e-08
1.2173827277396614,0.10895754839363399,0.10243476545547933,159.55161498513357,0.0026114851091008397,0.6399405560745419,0.6777551464136943,1.0174173538238368e-07,1.5658905610314907e-08,7.813039525990981e-08
