frequency,power
0.0,5.188503834428691e-23
0.09990000000000003,211.57633588936952
0.19980000000000006,731.0112327932126
0.2997000000000001,3938.2278668263766
0.3996000000000001,2379.2406011733024
0.49950000000000017,1299.4643777905683
0.5994000000000002,2429.389733789128
0.6993000000000003,4942.180917526068
0.7992000000000002,952.6967003245213
0.8991000000000002,2554.672099989334
0.9990000000000003,856.6227445418784
1.0989000000000004,1730.787278886848
1.1988000000000003,3856.2402096279448
1.2987000000000004,669.7561044439485
1.3986000000000005,378.8733457455423
1.4985000000000004,1413.2355038140904
1.5984000000000005,407.54811525725137
1.6983000000000006,58.925167204947435
1.7982000000000005,19.620252658802933
1.8981000000000006,9.458393134899815
1.9980000000000007,5.537466219074044
2.0979000000000005,3.65549537014187
2.197800000000001,2.6164299594832827
2.2977000000000007,1.9834765827015184
2.3976000000000006,1.5687006971376936
2.497500000000001,1.281156686677366
2.597400000000001,1.0727323816811971
2.6973000000000007,0.9161230604037317
2.797200000000001,0.7949237192324908
2.897100000000001,0.6988008995512462
2.9970000000000008,0.6209807654346757
3.096900000000001,0.5568688604208161
3.196800000000001,0.5032556721160628
3.296700000000001,0.4578407266002698
3.396600000000001,0.41893739350176634
3.496500000000001,0.38528408475211445
3.596400000000001,0.3559201734422887
3.6963000000000013,0.33010244267103805
3.796200000000001,0.3072475842724824
3.896100000000001,0.28689183735491014
3.9960000000000013,0.2686621459178102
4.095900000000001,0.2522552089177633
4.195800000000001,0.23742203417149582
4.295700000000001,0.22395639299684597
4.395600000000002,0.21168608090230454
4.495500000000002,0.20046622479543905
4.5954000000000015,0.1901741018904258
4.695300000000001,0.180705088533252
4.795200000000001,0.1719694629198404
4.895100000000001,0.16388985976195744
4.995000000000002,0.15639922750486732
5.094900000000002,0.14943917642417584
5.194800000000002,0.14295863331118935
5.2947000000000015,0.1369127385373963
5.394600000000001,0.13126193616555804
5.494500000000001,0.12597121889423218
5.594400000000002,0.12100949800828337
5.694300000000002,0.11634907488675966
5.794200000000002,0.11196519550284031
5.894100000000002,0.10783567312638725
5.9940000000000015,0.10394056737093357
6.093900000000001,0.10026191002309337
6.193800000000002,0.09678346990156828
6.293700000000002,0.09349055042421012
6.393600000000002,0.09036981470577435
6.493500000000002,0.08740913392264026
6.593400000000002,0.08459745541888644
6.6933000000000025,0.0819246876256055
6.793200000000002,0.07938159935007566
6.893100000000002,0.07695973138927201
6.993000000000002,0.07465131874779078
7.092900000000002,0.07244922200892716
7.192800000000002,0.07034686663010042
7.292700000000003,0.06833818911849088
7.3926000000000025,0.06641758919711958
7.492500000000002,0.06457988720033399
7.592400000000002,0.06282028604587779
7.692300000000002,0.06113433722285225
7.792200000000002,0.05951791031088545
7.892100000000003,0.057967165612085945
7.992000000000003,0.05647852953294193
8.091900000000003,0.055048672400453504
8.191800000000002,0.05367448843769341
